,Ticker,Volatility,Sector,PEG Ratio,Market Cap,Trailing PS,Profit Margin,Forward EPS,Market Cap Categorised,Price,Three Year SL Growth Rate (%),Three Year Growth Against Market (%)
5494,RGP,3.080289100329697,Industrials,1.0,505440864.0,0.62537146,0.07809,1.42,Small-Cap,15.270000457763672,59.18293332527399,13.240500569470917
5496,RGS,4.009044784860023,Consumer Cyclical,-0.71,47387288.0,0.18825622,-0.28401,-0.01,Micro-Cap,1.0299999713897705,-87.91079910739671,-133.8532318631998
5500,RH,163.4790714085588,Consumer Cyclical,-2.43,5404429824.0,1.5052122,0.14723,15.79,Mid-Cap,245.9900054931641,105.35103398707675,59.40860123127367
5502,RHI,20.977429744532163,Industrials,1.72,7904452608.0,1.0920554,0.090900004,5.66,Mid-Cap,74.66000366210938,87.78040645755901,41.837973701755935
5503,RHP,19.823749437294758,Real Estate,1.52,5000496128.0,2.7857885,0.07186,4.59,Mid-Cap,89.6500015258789,220.17857687813893,174.23614412233584
5505,RICK,23.935036995679052,Consumer Cyclical,0.33,691804992.0,2.508794,0.16574,6.73,Small-Cap,74.48999786376953,808.7315847546876,762.7891519988844
5506,RIDE,7.637300765836488,Consumer Cyclical,0.02,115409232.0,594.89294,0.0,-1.35,Micro-Cap,0.4869999885559082,-95.09072595957228,-141.03315871537535
5507,RIG,1.4400047864586607,Energy,-0.07,4374641152.0,1.6988897,-0.24115999,0.41,Mid-Cap,6.21999979019165,465.45451412516263,419.5120813693596
5508,RIGL,1.0580218397234256,Healthcare,-0.06,206647072.0,1.7854112,-0.50606,-0.12,Micro-Cap,1.190000057220459,-21.710521568882108,-67.65295432468518
5520,RIOT,14.823969715114538,Financial Services,-1.11,1756619264.0,6.7778387,-1.96609,-0.52,Small-Cap,10.899999618530272,968.627433564194,922.6850008083909
5521,RITM,1.3835348523598316,Real Estate,0.42,3888111872.0,1.0316306,0.25326002,1.47,Mid-Cap,8.0600004196167,37.77778719678352,-8.164645559019554
5524,RJF,23.091962001283452,Financial Services,0.9,20622108672.0,1.907688,0.14542,10.0,Large-Cap,96.18000030517578,144.4080994212165,98.46566666541341
5525,RKDA,49.61836149555749,Consumer Defensive,-0.02,5402704.0,0.5426581,-1.5444,-15.11,Micro-Cap,6.28000020980835,-96.14250608594166,-142.08493884174473
5528,RL,18.808416644896447,Consumer Cyclical,1.81,7594888704.0,1.1819918,0.08012,9.22,Mid-Cap,115.7699966430664,72.53272665336513,26.590293897562056
5530,RLGT,1.0356864864341309,Industrials,0.4,312696640.0,0.2181605,0.03041,0.69,Small-Cap,6.429999828338623,84.77010899702648,38.82767624122341
5532,RLJ,2.274365671772349,Real Estate,0.29,1672967168.0,1.4010054,0.03511,0.54,Small-Cap,10.210000038146973,30.967377309384947,-14.975055446418128
5537,RM,13.497035447482784,Financial Services,0.24,257751936.0,0.5213893,0.10362001,6.52,Small-Cap,27.170000076293945,125.5866717849607,79.64423902915763
5538,RMAX,6.159682609432987,Real Estate,0.11,599209728.0,1.6956239,0.01729,1.69,Small-Cap,19.190000534057617,-7.261907768566216,-53.20434052436929
5540,RMBL,12.781460133452265,Consumer Cyclical,-0.68,112504400.0,0.06273358,-0.14581999,0.08,Micro-Cap,6.940000057220459,18.430032407838,-27.512400347965077
5543,RMD,31.21438497608067,Healthcare,3.39,33505533952.0,8.903292,0.21509,7.28,Large-Cap,224.8500061035156,45.06233515218639,-0.880097603616683
5551,RMNI,1.8033631217422095,Technology,0.62,347231456.0,0.8476047,-0.00605,0.52,Small-Cap,3.9700000286102295,3.116886414289769,-42.82554634151331
5552,RMR,5.063101706610502,Real Estate,-11.9,401799872.0,1.973438,0.15864,2.15,Small-Cap,24.76000022888184,-4.599648555179035,-50.54208131098211
5554,RMTI,6.750864061654913,Healthcare,-0.09,26737252.0,0.3672195,-0.25654,-0.44,Micro-Cap,2.0899999141693115,-92.0502098083423,-137.99264256414537
5557,RNG,117.85727990246956,Technology,0.34,2785138944.0,1.4007428,-0.44216,3.65,Mid-Cap,28.56999969482422,-87.82078631093181,-133.76321906673488
5558,RNGR,3.073758063694526,Energy,0.75,290070528.0,0.47669768,0.024820002,2.29,Small-Cap,11.210000038146973,200.53619251539527,154.5937597595922
5561,RNR,18.683747931258445,Financial Services,0.11,9170924544.0,1.7913638,-0.20729,28.66,Mid-Cap,209.33999633789065,43.30022916662317,-2.642203589179907
5562,RNST,5.9862969871983,Financial Services,0.89,1573559680.0,2.5933678,0.27369,3.12,Small-Cap,28.59000015258789,30.998631843567832,-14.943800912235243
5566,ROAD,5.613224497798415,Industrials,1.09,1353348096.0,0.99621576,0.01307,0.91,Small-Cap,25.51000022888184,61.149717952175074,15.207285196371998
5570,ROCC,12.420319372963576,Energy,0.12,775608576.0,0.70950603,0.19914,14.12,Small-Cap,41.29999923706055,1186.604322313394,1140.661889557591
5573,ROCK,16.358290248073597,Industrials,0.69,1519494528.0,1.0931883,0.05929,4.21,Small-Cap,49.2599983215332,15.093456073893897,-30.84897668190918
